name,rating,price_wna,city
The Alena Resort by Pramana,4.35,4149832.0,Gianyar
Pondok Bali Guest House,4.4,266667.0,Buleleng
The Backyard House,4.35,210667.0,Tabanan
Kubu B'dauh Homestay,3.95,313333.0,Badung
Jepun Bali Hotel,4.35,1046760.0,Badung
Asri Sari Ubud Resort & Villa,3.95,720000.0,Gianyar
Respati Beach Hotel,4.25,2399999.0,Denpasar
Wawa Wewe II Villas,4.1,699999.0,Karangasem
Cozy Palm,4.15,266665.0,Badung
Tirta Ening Agung Hotel,4.15,540000.0,Denpasar
Interconnection Kuta,4.45,418000.0,Badung
Rumah Roda Home Stay,4.45,1317769.0,Gianyar
Made House Sanur,4.3,98264.0,Denpasar
Uma Kutuh 2,4.0,288000.0,Gianyar
Utari Residence Legian,4.35,233333.0,Badung
Jesen's Inn 2,4.05,399999.0,Badung
Mejore Beach Hotel,4.35,1350000.0,Karangasem
Kubu Mekarsari Homestay,4.1,448180.0,Badung
Bali Bobo Hostel,4.65,160001.0,Badung
The Visala Boutique Suite Seminyak,4.3,2765703.0,Badung
Hartaning House by Pramana Villas,4.2,581382.0,Gianyar
Kencana Ubud Cottage,4.55,348750.0,Gianyar
Svaha Ubud,3.95,360000.0,Gianyar
Sahera  Hotel Karangasem,4.5,733332.0,Karangasem
Hotel The Flora Kuta Bali,4.25,420000.0,Badung
Darba Guest House,4.65,585000.0,Gianyar
Umah Anila,4.45,300811.0,Gianyar
The Swell,4.35,222000.0,Tabanan
The Ayudya Gelogor Carik,4.1,245662.0,Denpasar
Kubu Kalih,3.9,474942.0,Denpasar
Sanur Ayu Hotel,3.85,329333.0,Denpasar
Bhuwana Ubud Hotel and Farming,4.4,995330.0,Gianyar
Suly Vegetarian Resort & Spa,3.9,1068958.0,Gianyar
Sari Indah Cottages,4.2,348524.0,Badung
Puri Sading Hotel,4.1,938664.0,Denpasar
OYO Flagship 91062 Antara Sunset Road,3.95,343194.0,Denpasar
Ubud Sari Health Resort,4.25,895691.0,Gianyar
Kondra Premiere Guest House,4.15,724104.0,Badung
Rita ZA Hotel,3.25,196078.0,Badung
CHEZ IDA,4.2,600001.0,Gianyar
Taxa Uma,4.1,295380.0,Badung
Mekar Jaya Bungalows,3.8,202667.0,Badung
Kubu Turah Homestay,3.65,274716.0,Badung
Uma Kutuh Bungalow,3.65,191076.0,Gianyar
