Hotel Name,Original price,Price after discount,Tax,Rating,location,Rating(5)
Bendesa Accomodation,Rp 357.143,Rp 267.857,Inclusive of taxes,7.3,"Legian, Bali",3.65
Swastika Guest House,Rp 466.668,Rp 350.001,Inclusive of taxes,7.9,"Sanur, Bali",3.95
Dekara Cottages Penida,Rp 269.100,Rp 161.460,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Fourteen Roses Beach Hotel,Rp 610.517,Rp 422.500,Inclusive of taxes,7.9,"Legian, Bali",3.95
Bayak Bali Hotel,Rp 180.000,Rp 135.000,Inclusive of taxes,6.6,"West Denpasar, Bali",3.3
Nakula Familiar Inn,Rp 450.000,Rp 202.500,Inclusive of taxes,9,"North Denpasar, Bali",4.5
Dajan Buyan Homestay,Rp 418.000,Rp 313.500,Inclusive of taxes,8.6,"Bedugul, Bali",4.3
The Garden Villa,Rp 797.333,Rp 598.000,Inclusive of taxes,8.3,"Sanur, Bali",4.15
Bataran Garden Cottage,Rp 600.000,Rp 450.000,Inclusive of taxes,8.3,"Nusa Penida, Bali",4.15
Pinggan Sunrise Camp,Rp 276.817,Rp 207.613,Inclusive of taxes,n/a,"Kintamani, Bali",#VALUE!
Amed Lodge by Sudamala Resorts,Rp 1.046.900,Rp 674.999,Inclusive of taxes,8.6,"Amed, Bali",4.3
Nirmala Guest House,Rp 1.147.429,Rp 693.461,Inclusive of taxes,8.5,"Keramas, Bali",4.25
Risata Bali Resort & Spa,Rp 880.000,Rp 616.000,Inclusive of taxes,8.4,"Kuta, Bali",4.2
Suma Beach Hotel,Rp 324.000,Rp 243.000,Inclusive of taxes,7.9,"Lovina, Bali",3.95
The Sanyas Retreat,Rp 1.170.000,Rp 1.053.000,Inclusive of taxes,8.5,"Kerambitan, Bali",4.25
Hotel Sari,Rp 237.000,Rp 201.450,Inclusive of taxes,7.8,"Gilimanuk, Bali",3.9
Hotel Duta Karya,Rp 399.780,Rp 241.612,Inclusive of taxes,6.7,"Singaraja, Bali",3.35
Medewi Surf Lodge,Rp 240.000,Rp 180.000,Inclusive of taxes,7,"Medewi, Bali",3.5
OYO 3096 Hotel Dewi Warsiki,Rp 163.007,Rp 127.145,Inclusive of taxes,7.3,"Gilimanuk, Bali",3.65
Tarzan Marriott on Penida,Rp 690.600,Rp 517.950,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
OYO 3062 Pondok Wisata Dewata,Rp 188.561,Rp 118.793,Inclusive of taxes,7.1,"Batubulan, Bali",3.55
Tarzan Marriott on Penida,Rp 690.600,Rp 517.950,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
OYO 3062 Pondok Wisata Dewata,Rp 188.561,Rp 118.793,Inclusive of taxes,7.1,"Batubulan, Bali",3.55
Origin Uluwatu,Rp 1.596.500,Rp 1.436.850,Inclusive of taxes,9.2,"Pecatu, Bali",4.6
Suji Bungalow,Rp 282.450,Rp 246.500,Inclusive of taxes,8.2,"Poppies, Bali",4.1
Adiwana Warnakali Resort,Rp 3.799.430,Rp 2.608.083,Inclusive of taxes,9.1,"Nusa Penida, Bali",4.55
XOXO Kuta Legian Hostel,Rp 278.400,Rp 208.800,Inclusive of taxes,8.2,"Legian, Bali",4.1
Sariqu House,Rp 223.940,Rp 167.955,Inclusive of taxes,8.7,"Kuta, Bali",4.35
Margarita Surf Hostel Canggu,Rp 141.845,Rp 78.015,Inclusive of taxes,7.5,"Canggu, Bali",3.75
Singgahan Bungalow,Rp 366.667,Rp 275.000,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Kangkung Cottages Karangasem,Rp 426.000,Rp 319.500,Inclusive of taxes,8.2,"Amlapura, Bali",4.1
Ariks Hotel Ubud,Rp 361.819,Rp 180.001,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Pradana Beach Inn,Rp 660.000,Rp 495.000,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Bali Eco Living Dormitory,Rp 102.000,Rp 76.500,Inclusive of taxes,7.8,"South Denpasar, Bali",3.9
Bali Diva Hotel,Rp 397.914,Rp 246.707,Inclusive of taxes,6.8,"Poppies, Bali",3.4
Denays Guest House Jimbaran,Rp 404.806,Rp 190.259,Inclusive of taxes,7.6,"Jimbaran, Bali",3.8
Puri Naga Beachfront Cottages,Rp 1.696.428,Rp 475.000,Inclusive of taxes,7.6,"Seminyak, Bali",3.8
Villa das Meer,Rp 629.000,Rp 471.750,Inclusive of taxes,8.6,"Banjar, Bali",4.3
Villa Green House Penida aka Citronella Homestay,Rp 266.666,Rp 141.333,Inclusive of taxes,8.1,"Nusa Penida, Bali",4.05
Yulia 2 Homestay Sanur Guesthouse,Rp 413.333,Rp 310.000,Inclusive of taxes,8,"Sanur, Bali",4
Balitung Villa Seminyak,Rp 1.557.692,Rp 905.580,Inclusive of taxes,n/a,"Seminyak, Bali",#VALUE!
Abyan Guest House,Rp 349.333,Rp 262.000,Inclusive of taxes,7.6,"Sanur, Bali",3.8
SPOT ON 1927 Hotel Candra Adigraha,Rp 146.652,Rp 92.391,Inclusive of taxes,7.2,"North Denpasar, Bali",3.6
Surf Doggie Inn,Rp 145.667,Rp 109.250,Inclusive of taxes,8.3,"Kuta, Bali",4.15
Gora Beach Inn,Rp 735.575,Rp 367.788,Inclusive of taxes,8.2,"Poppies, Bali",4.1
Svaha Private Villa Ceningan,Rp 569.100,Rp 426.825,Inclusive of taxes,n/a,"Nusa Ceningan, Bali",#VALUE!
Wonder-Land Villa,Rp 253.333,Rp 190.000,Inclusive of taxes,8,"Monkey Forest, Bali",4
Dolphin Beach Bali,Rp 1.881.322,Rp 840.000,Inclusive of taxes,8,"Lovina, Bali",4
Kibu Kauh Sunrise Cottage Penida,Rp 340.000,Rp 255.000,Inclusive of taxes,8.8,"Nusa Penida, Bali",4.4
Relax Bali Dive & Spa Resort,Rp 1.641.444,Rp 1.231.083,Inclusive of taxes,n/a,"Tulamben, Bali",#VALUE!
The Alena Resort by Pramana,Rp 4.149.832,Rp 1.659.933,Inclusive of taxes,8.7,"Ubud, Bali",4.35
Hotel Cianjur Bali,Rp 322.667,Rp 242.000,Inclusive of taxes,7.8,"East Denpasar, Bali",3.9
